Student ID,CIA-1,CIA-2,CIA-3,Assignment-1,Assignment-2,Assignment-3,Attendance (%),Internal(50),External(100),Final Marks,Grade
93,42,37,44,10,10,10,75,44,77,82,A
94,11,23,24,8,10,10,86,28,48,52,D
95,5,42,20,8,10,8,81,33,52,59,D
96,21,14,10,8,10,9,85,23,85,65,C
97,23,19,12,8,8,10,75,25,86,68,C
98,5,6,21,8,9,8,80,19,75,56,D
99,16,9,4,8,8,8,80,18,95,65,C
100,4,20,42,8,8,9,97,33,45,55,D
101,45,2,2,10,8,8,95,27,44,49,F
102,10,48,39,8,9,10,100,43,77,81,A
103,27,10,45,9,9,10,92,38,65,70,C
104,10,29,43,8,10,10,75,38,82,79,B
105,14,18,14,8,10,10,79,22,96,70,C
106,6,33,28,8,8,10,83,33,96,81,A
107,2,2,4,10,8,8,81,11,71,46,F
108,22,38,1,8,10,10,100,33,83,74,B
109,7,23,22,10,9,9,83,27,52,53,D
110,15,50,49,9,9,8,85,48,45,70,C
111,8,3,30,10,8,8,92,23,86,66,C
112,44,37,35,9,9,9,84,41,83,82,A
113,32,11,6,9,9,10,83,26,61,56,D
114,32,14,30,10,9,10,97,34,80,74,B
115,8,46,21,9,8,8,90,35,82,76,B
116,5,13,7,9,8,8,75,16,86,59,D
117,39,46,34,9,8,10,80,43,72,79,B
118,30,38,22,9,10,10,91,36,41,56,D
119,41,32,32,9,9,10,80,38,72,74,B
120,29,26,3,8,9,8,83,30,72,66,C
121,45,46,3,8,10,9,79,45,92,91,S
122,37,38,15,8,8,8,87,38,65,70,C
123,34,34,19,9,10,9,82,36,99,85,A
124,1,21,46,9,8,9,96,35,47,58,D
125,10,2,48,8,10,10,96,32,78,71,B
126,22,46,47,8,9,8,94,45,51,70,C
127,13,16,31,8,10,10,76,28,84,70,C
128,36,42,28,10,9,10,94,40,70,75,B
129,9,21,37,9,10,9,83,32,65,64,C
130,38,6,18,8,9,9,92,31,91,76,B
131,18,44,49,9,10,8,92,46,74,83,A
132,1,42,18,10,10,9,88,33,65,65,C
133,31,44,40,8,9,8,96,41,78,80,B
134,17,16,11,9,8,9,78,21,77,59,D
135,38,49,43,8,10,8,84,45,56,73,B
136,36,38,31,9,9,8,84,38,89,82,A
137,20,29,41,8,9,8,79,36,80,76,B
138,36,10,5,9,8,10,87,27,54,54,D
139,31,20,48,10,8,10,80,40,82,81,A
140,11,25,13,9,9,10,83,24,69,58,D
141,17,8,43,10,8,9,93,33,47,56,D
142,30,19,45,9,9,8,86,38,90,83,A
143,11,17,15,10,8,8,87,21,97,69,C
144,46,17,23,9,9,10,91,36,98,85,A
145,50,45,8,9,10,10,91,47,55,74,B
146,50,27,4,8,8,10,81,39,51,64,C
147,15,5,1,9,8,10,77,17,78,56,D
148,34,28,48,9,8,9,94,41,64,73,B
149,20,25,20,8,10,8,89,26,65,58,D
150,6,26,44,9,8,8,96,36,72,72,B
151,35,9,19,10,9,9,90,30,79,69,C
152,13,19,48,9,10,10,78,36,81,76,B
153,16,7,12,9,10,10,96,20,83,61,C
154,19,19,3,10,10,8,96,24,56,52,D
155,3,38,11,8,9,9,79,28,50,53,D
156,14,1,31,8,9,10,87,27,76,65,C
157,17,7,50,9,8,8,96,35,44,57,D
158,18,27,6,8,8,10,79,26,75,63,C
159,22,14,22,9,8,8,75,25,44,47,F
160,22,3,26,9,10,10,75,28,89,72,B
161,31,42,7,9,9,8,86,37,94,84,A
162,18,23,42,10,10,9,77,35,63,66,C
163,8,50,39,9,10,9,97,44,43,65,C
164,6,50,38,10,8,8,87,43,59,72,B
165,44,13,29,9,9,8,76,37,61,67,C
166,11,24,41,10,8,8,76,34,68,68,C
167,38,9,28,9,8,10,80,35,45,57,D
168,35,35,24,8,9,8,81,36,99,85,A
169,7,11,24,8,8,10,83,22,77,60,D
170,8,8,7,10,8,10,86,15,70,50,D
171,32,19,41,9,9,8,99,37,45,59,D
172,6,14,8,9,8,8,100,17,59,46,F
173,15,3,16,10,10,9,85,22,88,66,C
174,29,21,35,8,8,10,99,34,41,54,D
175,12,6,32,8,8,10,75,26,96,74,B
176,8,42,16,10,8,10,97,32,92,78,B
177,50,32,16,8,9,9,88,41,59,70,C
178,28,18,31,8,8,10,97,32,82,73,B
179,23,25,31,9,10,9,90,31,80,71,B
180,33,15,19,9,9,9,82,29,72,65,C
181,5,3,46,9,8,8,87,28,99,77,B
182,37,8,38,10,8,9,80,39,71,74,B
183,27,2,11,10,9,10,80,24,82,65,C
184,4,46,3,8,10,10,89,29,58,58,D
185,31,36,46,8,8,9,93,41,74,78,B
186,29,35,8,8,8,8,99,33,54,60,D
187,23,19,13,9,10,9,87,26,58,55,D
188,42,42,4,10,10,9,82,43,70,78,B
189,39,24,26,8,10,8,78,34,45,56,D
190,9,36,12,8,8,9,82,27,92,73,B
191,43,42,47,9,10,9,77,45,71,80,B
192,49,41,2,9,9,10,77,45,43,66,C
193,30,11,30,8,9,10,89,33,50,58,D
194,44,36,21,8,10,9,82,41,54,68,C
195,38,39,8,10,8,9,91,39,56,67,C
196,13,28,5,8,9,9,92,25,80,65,C
197,4,1,11,10,8,10,79,15,41,35,F
198,6,36,22,9,10,9,75,32,100,82,A
199,6,33,4,10,8,8,90,24,70,59,D
200,29,17,19,9,10,8,85,28,81,68,C
201,25,8,23,10,9,10,80,28,55,55,D
202,38,35,16,9,8,8,79,37,73,73,B
203,23,11,13,9,9,8,98,23,67,56,D
204,32,20,19,8,9,9,89,29,92,75,B
205,33,23,6,9,8,9,87,31,49,55,D
206,5,12,47,9,9,10,83,32,77,70,C
207,3,37,11,10,8,8,87,27,73,63,C
208,14,9,46,10,9,9,81,33,81,73,B
209,30,33,40,8,9,10,98,38,84,80,B
210,39,28,9,8,9,9,78,35,95,82,A
211,44,20,14,8,9,8,93,33,79,72,B
212,42,21,20,10,10,8,91,34,88,78,B
213,42,43,39,8,9,9,82,42,44,64,C
214,29,46,22,9,8,9,88,38,50,63,C
215,9,20,35,9,9,9,76,31,57,59,D
216,50,44,9,10,9,9,81,46,55,73,B
217,13,47,50,8,9,8,82,47,74,84,A
218,5,45,13,9,10,8,93,32,99,81,A
219,14,46,22,9,9,10,80,36,96,84,A
220,31,6,9,10,8,9,81,25,79,64,C
221,32,10,4,10,9,9,97,26,88,70,C
222,8,33,43,9,9,8,86,39,48,63,C
223,13,10,33,9,8,9,84,27,73,63,C
224,8,16,3,10,10,9,76,19,82,60,D
225,19,1,4,9,8,10,96,18,60,48,F
226,3,22,20,8,10,10,100,26,64,58,D
227,23,13,30,10,10,9,98,30,60,60,D
228,33,25,44,10,9,9,94,40,84,82,A
229,27,8,22,10,10,8,96,28,47,51,D
230,2,23,15,10,10,10,82,25,75,62,C
231,31,8,10,10,9,8,93,25,74,62,C
232,43,35,12,9,8,9,80,39,75,76,B
233,50,10,2,8,9,9,87,32,62,63,C
234,41,49,3,10,10,8,88,45,54,72,B
235,13,40,42,10,9,8,89,41,79,80,B
236,27,6,31,9,10,9,88,32,93,78,B
237,46,14,20,10,9,10,92,36,74,73,B
238,40,24,27,8,10,9,82,35,92,81,A
239,9,5,13,10,9,8,93,17,61,47,F
240,27,32,41,9,10,9,98,38,64,70,C
241,3,7,31,8,10,8,83,23,41,43,F
242,37,19,1,8,9,8,81,30,65,62,C
243,19,31,47,10,8,8,76,39,40,59,D
244,28,41,28,10,8,10,85,36,83,77,B
245,17,7,3,8,9,9,99,18,84,60,D
246,48,9,37,9,8,10,87,43,86,86,A+
247,33,27,28,9,9,10,81,33,65,65,C
248,41,38,23,9,8,9,91,40,81,80,B
249,1,41,2,9,10,9,98,26,90,71,B
250,27,4,16,10,9,9,75,26,56,54,D
251,42,33,30,10,9,9,84,39,84,81,A
252,27,12,14,8,8,8,92,24,66,57,D
253,36,18,49,9,10,9,78,43,88,87,A+
254,44,44,32,9,9,9,80,44,51,69,C
255,43,6,23,9,8,10,76,35,73,71,B
256,11,47,1,10,10,10,100,33,52,59,D
257,21,34,29,9,9,10,99,34,81,74,B
258,38,3,7,9,9,9,92,27,100,77,B
259,21,5,22,8,10,10,89,26,73,62,C
260,9,10,34,10,10,10,86,27,87,70,C
261,3,36,24,8,9,9,87,32,82,73,B
262,17,46,2,9,8,9,92,33,42,54,D
263,34,3,38,10,10,9,96,38,92,84,A
264,7,5,18,9,10,10,86,19,93,65,C
265,46,8,4,9,9,9,83,30,52,56,D
266,2,30,30,10,8,10,76,33,75,70,C
267,40,19,45,9,8,10,88,43,63,74,B
268,38,45,9,9,9,10,75,42,68,76,B
269,2,47,39,8,9,8,89,42,44,64,C
270,49,26,32,9,10,9,77,41,78,80,B
271,14,44,41,9,9,9,78,43,56,71,B
272,28,16,20,8,8,8,81,27,71,62,C
273,34,27,24,9,9,10,75,33,53,59,D
274,30,42,37,9,9,9,81,40,87,83,A
275,41,2,25,8,8,8,85,34,59,63,C
276,24,8,31,8,8,8,80,30,57,58,D
277,21,48,36,9,10,10,83,43,93,89,A+
278,44,45,16,9,10,8,82,44,66,77,B
279,38,41,9,8,9,10,94,40,80,80,B
280,48,21,10,10,9,9,99,36,80,76,B
281,5,11,42,8,8,8,89,29,89,73,B
282,7,17,39,9,8,10,99,31,61,61,C
283,38,44,36,9,9,10,77,42,85,84,A
284,25,9,21,8,10,9,82,27,48,51,D
285,7,44,41,8,9,10,92,43,76,81,A
286,17,48,44,8,10,9,95,45,68,79,B
287,37,26,41,9,10,8,91,40,80,80,B
288,9,34,38,10,8,10,75,38,63,69,C
289,12,23,32,10,9,9,83,31,47,54,D
290,9,18,16,8,10,8,88,22,90,67,C
291,34,14,28,10,8,9,86,33,53,59,D
292,37,31,34,10,10,9,75,38,74,75,B
293,24,40,43,10,10,10,91,43,73,79,B
294,24,48,28,10,10,10,85,40,87,83,A
295,16,13,2,8,9,10,81,20,95,67,C
296,1,3,9,8,8,9,75,13,56,41,F
297,1,20,21,9,8,8,84,24,87,67,C
298,48,47,44,8,9,8,98,46,52,72,B
299,9,31,34,10,10,9,99,35,95,82,A
300,5,26,45,8,9,10,97,37,59,66,C
301,42,30,15,10,8,10,85,38,98,87,A+
302,17,22,40,8,9,8,85,33,80,73,B
303,20,9,31,8,10,9,88,29,40,49,F
304,21,29,22,10,8,8,79,29,85,71,B
305,39,2,42,8,10,9,87,41,75,78,B
306,6,21,4,10,10,10,75,20,73,56,D
307,12,45,39,9,9,8,91,42,99,91,S
308,12,35,40,9,8,8,89,38,75,75,B
309,4,26,1,10,8,8,98,20,73,56,D
310,17,37,13,10,10,8,83,30,95,77,B
311,35,19,42,9,8,9,92,39,72,75,B
312,42,29,42,9,10,8,76,42,81,82,A
313,23,13,39,8,10,9,79,33,88,77,B
314,41,32,12,9,9,10,90,38,43,59,D
315,28,20,26,9,10,10,96,31,54,58,D
316,48,1,2,10,9,10,85,29,81,69,C
317,45,43,45,10,8,10,92,45,42,66,C
318,20,39,46,10,10,9,80,43,75,80,B
319,5,23,29,9,9,8,89,29,62,60,D
320,18,27,6,8,8,8,89,26,100,76,B
321,5,12,16,9,10,10,90,20,55,47,F
322,13,20,4,10,10,10,97,23,91,68,C
323,48,39,23,10,8,10,81,44,96,92,S
324,46,15,26,8,10,10,90,38,93,84,A
325,30,45,14,8,9,10,98,39,76,77,B
326,3,6,13,9,9,9,77,16,76,54,D
327,19,48,45,8,9,8,81,45,48,69,C
328,9,9,10,8,9,9,76,16,76,54,D
329,37,36,19,8,9,10,94,38,76,76,B
330,16,2,7,10,10,9,80,18,54,45,F
331,46,48,9,10,8,9,86,46,58,75,B
332,5,5,29,10,10,8,99,22,75,59,D
333,25,13,50,10,8,8,81,38,73,74,B
334,8,29,41,10,9,10,99,37,78,76,B
335,20,10,25,8,8,8,76,26,50,51,D
336,38,5,5,10,9,9,100,26,69,60,D
337,6,42,14,9,10,8,91,31,84,73,B
338,27,8,9,8,8,8,81,22,46,45,F
339,28,19,21,8,9,10,98,28,65,60,D
340,15,34,18,9,8,9,92,29,41,49,F
341,13,19,25,10,10,8,83,26,90,71,B
342,2,6,3,9,10,8,92,12,73,48,F
343,44,2,16,9,8,9,92,32,99,81,A
344,47,36,11,9,8,9,94,41,96,89,A+
345,43,43,25,9,8,9,80,43,85,85,A
346,32,18,12,8,9,10,96,29,69,63,C
347,32,36,26,8,10,10,96,36,48,60,D
348,3,47,31,10,10,9,82,40,51,65,C
349,45,28,48,8,10,9,96,46,88,90,A+
350,11,35,8,8,8,10,89,27,45,49,F
351,45,22,20,8,10,10,77,36,82,77,B
352,3,6,38,8,9,9,87,26,47,49,F
353,48,34,19,9,8,10,76,41,94,88,A+
354,25,46,48,9,9,10,79,46,81,86,A+
355,21,27,46,10,8,10,89,38,70,73,B
356,2,14,48,8,10,9,84,33,59,62,C
357,27,28,4,8,10,9,97,31,40,51,D
358,46,43,12,10,10,9,75,45,47,68,C
359,13,39,2,8,10,8,100,29,58,58,D
360,27,24,43,9,10,9,78,37,42,58,D
361,12,4,14,9,8,10,93,19,64,51,D
362,22,28,49,10,10,8,89,40,92,86,A+
363,10,30,34,10,8,9,91,34,81,74,B
364,9,35,10,8,8,10,75,26,82,67,C
365,24,39,40,9,9,9,87,40,59,69,C
366,26,39,6,8,10,10,97,35,47,58,D
367,49,26,15,9,9,8,79,38,100,88,A+
368,45,19,17,10,9,8,98,34,90,79,B
369,28,17,30,9,9,9,93,32,56,60,D
370,9,26,19,10,9,9,86,27,87,70,C
371,5,31,20,10,10,10,79,30,53,56,D
372,39,30,20,10,10,8,89,36,95,83,A
373,28,35,43,8,9,10,84,40,83,81,A
374,11,42,13,8,8,10,82,30,79,69,C
375,45,37,9,10,8,9,81,41,46,64,C
376,35,46,31,9,10,10,96,42,94,89,A+
377,29,15,8,8,10,10,82,26,62,57,D
378,43,47,40,10,8,8,80,44,67,77,B
379,36,34,14,10,9,10,93,37,66,70,C
380,3,23,23,8,8,10,91,27,68,61,C
381,48,13,38,10,8,10,95,43,57,71,B
382,17,18,44,9,8,8,90,33,92,79,B
383,46,6,24,8,8,8,97,36,59,65,C
384,41,43,22,9,10,10,88,43,85,85,A
385,30,22,7,10,8,8,75,29,68,63,C
386,50,23,6,8,8,8,96,37,62,68,C
387,29,33,12,10,8,8,82,33,94,80,B
388,35,37,46,10,8,10,77,42,97,90,A+
389,2,40,28,10,10,9,86,36,78,75,B
390,37,5,24,10,10,9,81,34,67,67,C
391,34,8,14,9,9,8,95,27,50,52,D
392,33,41,4,10,9,9,81,38,85,80,B
393,35,38,31,10,9,9,82,38,91,83,A
394,8,34,14,10,8,9,94,28,61,58,D
395,49,27,14,8,8,9,96,38,79,77,B
396,23,16,2,10,10,10,90,25,63,56,D
397,44,5,33,9,10,9,75,40,72,76,B
398,16,41,37,9,10,9,82,40,55,67,C
399,41,19,19,10,10,8,90,33,65,65,C
400,33,20,38,8,10,10,91,37,47,60,D
401,1,26,46,9,9,9,90,37,55,64,C
402,1,17,33,8,8,8,76,28,40,48,F
403,8,50,38,9,8,10,75,44,97,92,S
404,20,24,33,9,10,8,100,31,61,61,C
405,44,44,40,9,9,8,83,43,53,69,C
406,42,26,18,10,10,9,99,36,85,78,B
407,25,29,50,9,8,9,88,40,54,67,C
408,26,17,6,8,9,10,92,26,40,46,F
409,40,29,27,10,10,10,80,37,51,62,C
410,26,15,2,8,8,9,90,24,60,54,D
411,4,21,47,10,10,8,77,36,43,57,D
412,1,4,43,9,8,10,82,27,81,67,C
413,49,12,14,10,9,9,100,34,48,58,D
414,3,46,9,8,10,9,93,31,51,56,D
415,11,9,40,8,8,8,91,28,53,54,D
416,5,45,17,9,10,9,77,34,67,67,C
417,34,38,46,9,9,10,88,42,85,84,A
418,11,26,9,10,8,10,95,24,41,44,F
419,18,49,13,9,9,8,94,35,82,76,B
420,22,23,24,10,9,9,88,28,94,75,B
421,40,21,28,8,8,8,98,35,47,58,D
422,8,12,35,8,10,9,75,27,91,72,B
423,24,11,15,8,10,9,99,24,63,55,D
424,23,39,25,10,8,8,100,34,67,67,C
425,49,19,21,8,10,9,100,37,44,59,D
426,41,17,11,8,9,8,98,31,88,75,B
427,27,40,15,8,8,10,78,35,95,82,A
428,41,4,11,8,8,9,100,29,44,51,D
429,40,38,15,9,8,10,90,40,75,77,B
430,29,10,44,8,10,10,90,38,67,71,B
431,10,37,12,8,10,10,81,28,65,60,D
432,11,41,29,9,9,10,87,37,65,69,C
433,33,40,27,10,10,9,88,38,72,74,B
434,37,20,23,10,9,10,98,33,41,53,D
435,24,13,50,10,10,8,92,38,70,73,B
436,47,9,28,10,8,9,100,39,82,80,B
437,27,35,49,9,8,10,99,42,62,73,B
438,17,45,2,10,10,8,97,34,67,67,C
439,35,36,44,10,10,10,88,42,81,82,A
440,25,24,3,9,9,9,93,28,55,55,D
441,11,44,12,10,9,10,83,32,48,56,D
442,49,50,40,10,10,9,93,49,47,72,B
443,49,13,19,10,10,10,82,37,44,59,D
444,47,13,37,10,10,8,92,42,93,88,A+
445,17,31,47,10,9,8,81,40,47,63,C
446,31,43,39,8,8,8,89,40,40,60,D
447,1,32,16,9,10,10,81,28,72,64,C
448,47,4,43,8,10,10,95,45,50,70,C
449,7,29,38,9,9,8,93,35,56,63,C
450,30,1,18,10,10,9,88,28,99,77,B
451,2,28,36,8,8,10,89,34,49,58,D
452,29,29,10,10,8,10,85,32,56,60,D
453,16,16,17,9,9,9,78,22,95,69,C
454,45,28,36,10,8,10,76,41,92,87,A+
455,29,50,15,8,10,8,90,40,97,88,A+
456,18,22,18,10,9,10,99,25,43,46,F
457,38,42,44,10,9,9,99,43,82,84,A
458,28,18,16,9,9,10,89,27,87,70,C
459,10,26,45,8,9,9,80,37,49,61,C
460,43,22,4,8,9,9,76,34,97,82,A
461,42,45,24,8,9,10,79,43,82,84,A
462,42,42,28,9,9,8,98,42,99,91,S
463,45,41,23,9,9,8,82,43,74,80,B
464,31,24,29,8,10,10,93,33,67,66,C
465,24,37,18,10,9,10,82,34,56,62,C
466,34,13,17,8,9,8,99,28,84,70,C
467,19,24,42,10,9,9,83,35,87,78,B
468,44,10,2,9,10,9,82,30,54,57,D
469,5,50,39,8,10,8,100,44,60,74,B
470,33,28,31,8,10,9,78,34,72,70,C
471,43,2,4,8,8,8,84,26,93,72,B
472,28,33,37,8,9,9,77,36,60,66,C
473,45,43,10,8,10,9,76,44,98,93,S
474,48,22,35,8,8,8,84,41,65,73,B
475,6,6,8,10,8,8,99,14,78,53,D
476,23,49,12,9,10,10,89,38,80,78,B
477,25,36,15,8,8,9,77,32,40,52,D
478,22,45,39,8,10,10,97,42,91,87,A+
479,30,22,27,10,10,10,76,32,91,77,B
480,44,33,15,8,9,9,97,39,53,65,C
481,13,24,46,10,10,10,83,38,58,67,C
482,2,45,17,8,10,8,81,33,82,74,B
483,28,32,14,10,10,10,77,34,52,60,D
484,6,48,9,8,10,9,94,31,49,55,D
485,9,19,41,10,8,8,86,32,77,70,C
486,43,31,14,10,10,8,89,38,99,87,A+
487,3,42,24,9,10,9,75,35,94,82,A
488,50,18,14,8,10,8,80,35,49,59,D
489,47,3,40,8,10,8,77,43,50,68,C
490,49,28,3,9,9,9,96,39,87,82,A
491,38,28,1,10,9,9,86,35,49,59,D
492,27,25,6,9,9,8,76,29,40,49,F
493,16,7,24,8,8,8,100,24,53,50,D
494,14,25,5,10,9,9,85,24,79,63,C
495,6,50,4,8,8,8,91,30,68,64,C
496,4,24,6,9,8,9,99,20,100,70,C
497,3,31,41,10,9,8,90,37,50,62,C
498,27,26,19,9,9,9,78,30,88,74,B
499,50,49,25,10,9,10,77,49,69,83,A
500,11,39,13,8,10,8,86,29,53,55,D
501,48,1,22,9,9,10,95,37,78,76,B
502,44,18,20,9,8,8,98,33,53,59,D
503,8,50,29,9,9,9,88,40,83,81,A
504,25,27,48,9,8,10,100,39,82,80,B
505,13,45,39,9,9,8,85,42,56,70,C
506,9,44,46,10,10,10,97,46,67,79,B
507,2,35,11,8,10,9,82,27,79,66,C
508,21,47,19,9,8,9,83,35,97,83,A
509,49,41,16,9,9,9,88,45,100,95,S
510,9,37,25,8,8,10,87,33,48,57,D
511,41,32,44,9,9,10,92,43,93,89,A+
512,14,38,32,9,10,9,87,37,56,65,C
513,4,19,18,8,8,10,91,23,62,54,D
514,13,9,43,9,8,10,97,31,96,79,B
515,1,2,32,8,9,10,85,22,80,62,C
516,11,18,50,10,9,9,79,36,43,57,D
517,26,8,38,10,9,8,81,34,42,55,D
518,28,29,26,8,8,10,89,31,50,56,D
519,38,32,7,8,10,10,75,37,50,62,C
520,28,24,48,10,9,8,94,39,41,59,D
521,48,12,33,9,10,8,83,41,75,78,B
522,7,24,28,9,9,8,98,29,92,75,B
523,33,6,1,9,10,10,81,25,52,51,D
524,26,23,25,9,8,9,80,29,75,66,C
525,15,45,17,9,10,8,100,33,90,78,B
526,32,42,43,8,10,9,98,43,83,84,A
527,3,3,19,9,8,8,86,17,82,58,D
528,47,9,25,10,10,9,86,38,87,81,A
529,33,38,19,9,9,9,96,37,42,58,D
530,40,30,28,10,10,8,84,37,53,63,C
531,33,2,49,9,10,9,82,42,65,74,B
532,34,17,8,10,9,10,89,30,60,60,D
533,50,9,30,8,9,9,82,40,72,76,B
534,18,2,36,9,9,8,98,30,76,68,C
535,50,44,9,10,9,9,86,46,64,78,B
536,13,41,29,9,10,10,79,37,93,83,A
537,17,5,44,10,8,8,87,33,99,82,A
538,31,37,40,10,9,8,87,39,83,80,B
539,39,24,43,10,9,9,82,42,88,86,A+
540,40,13,29,10,10,9,77,37,87,80,B
541,12,36,29,10,8,10,98,35,75,72,B
542,27,20,11,10,8,9,96,27,91,72,B
543,25,22,4,9,8,8,81,27,100,77,B
544,50,4,18,9,10,10,83,36,93,82,A
545,19,31,44,9,9,8,77,38,40,58,D
546,9,38,15,10,8,10,93,30,78,69,C
547,3,20,19,10,9,9,84,24,62,55,D
548,49,20,31,9,10,8,81,41,96,89,A+
549,24,3,31,10,9,8,83,31,48,55,D
550,41,7,32,8,8,8,78,37,96,85,A
551,19,11,35,8,8,9,88,29,66,62,C
552,8,10,45,10,9,9,88,31,100,81,A
553,44,1,35,9,8,10,98,40,40,60,D
554,40,50,42,9,10,8,77,45,72,81,A
555,12,35,10,8,8,8,85,26,81,66,C
556,31,33,41,8,9,9,99,38,84,80,B
557,26,48,17,8,10,10,83,38,64,70,C
558,16,38,30,8,10,9,96,36,94,83,A
559,6,15,2,10,8,9,79,17,42,38,F
560,41,5,46,8,10,10,86,44,94,91,S
561,11,49,12,9,9,10,83,33,87,76,B
562,45,12,33,8,10,10,86,40,61,70,C
563,41,28,26,9,9,10,90,36,48,60,D
564,3,38,23,9,10,9,82,33,81,73,B
565,42,16,35,8,10,8,93,39,64,71,B
566,27,21,37,9,10,8,80,34,46,57,D
567,50,2,25,10,10,9,88,39,56,67,C
568,39,18,8,9,10,10,97,32,78,71,B
569,3,2,17,10,10,9,92,17,94,64,C
570,35,7,13,10,8,8,95,27,99,76,B
571,42,23,41,10,10,10,86,43,55,70,C
572,1,21,11,8,9,8,77,21,83,62,C
573,13,49,44,10,8,10,78,46,76,84,A
574,3,2,45,8,10,10,79,28,91,73,B
575,47,33,30,9,8,8,88,40,87,83,A
576,14,47,9,9,8,9,88,33,98,82,A
